,AC(mk),AC(mk_all),AC(test),size,F1(mk),F1(mk_all),F1(test),faverage,importance_uniformity,feature_importance,mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
267,0.997,0.997,0.924,25,0.998,0.998,0.941,3.6153846153846154,0.422,,0.0,0.008044996974530812,0.0,0.0,0.0,0.0,0.0,0.05590903924656779,0.0,0.0,0.013345231225897772,0.0,0.0,0.0,0.0033442362627407562,0.009598138542828177,0.0,0.007451452656932133,0.0,0.0,0.0,0.04598503528837257,0.7533655107029623,0.0,0.02141494227646023,0.0,0.021872162987829187,0.05966925383487841,0.0,0.0
268,1.0,1.0,0.889,33,1.0,1.0,0.913,4.411764705882353,0.419,,0.0033122488461081144,0.020619750558876403,0.0,0.0,0.0,0.020134228187919722,0.0,0.03531703010956573,0.0,0.0,0.005893136483561421,0.0,0.0,0.04961540002677995,0.01317363666738445,0.0,0.0,0.0,0.0,0.007964281404609466,0.0101010101010102,0.01965065502183431,0.044336137363196304,0.0,0.0,6.661338147751023e-18,0.012711864406779821,0.7571706208223742,0.0,0.0
269,1.0,1.0,0.936,39,1.0,1.0,0.947,4.95,0.461,,0.0,0.03826521315545832,0.0,0.0,0.0,0.0,0.0069686411149826625,0.022430906073505587,0.0,0.0,0.0,0.007623888182973307,0.002867011983012253,0.021349843397504693,0.003909357916920753,0.0,0.007750993345292526,0.010050251256281529,0.010151768945738892,0.009501187648456172,0.09764338358865145,0.006019939047388708,0.0,0.0,0.010544815465729471,0.0,0.007820949865301184,0.7256686425005098,0.011433206512292772,0.0
270,0.992,0.992,0.93,25,0.994,0.994,0.943,3.8461538461538463,0.439,,0.0,0.0,0.0,0.0,0.010907979410674309,0.0,0.03173714991947482,0.021371072132035325,0.0,0.0,0.01294844386114861,0.0,0.0,0.021014760587318704,0.0,0.0,0.0,0.0,0.0,0.0,0.7347733799683673,0.03160313912702554,0.0,0.0,0.0,0.0,0.0,0.13564407499395548,0.0,0.0
271,0.99,0.99,0.912,21,0.992,0.992,0.93,3.272727272727273,0.439,,0.0,0.05295905470483778,0.0,0.0,0.0,0.0,0.0,0.06320455360417206,0.0,0.0,0.0,0.0,0.0,0.0,0.004756540139764574,0.0,0.0,0.03574414096957886,0.0,0.008147266590192758,0.0,0.008222869791356767,0.7384370211509027,0.0,0.0,0.0,0.0,0.08852855304919452,0.0,0.0
272,0.982,0.982,0.918,15,0.986,0.986,0.934,2.75,0.341,,0.014165009829231742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08428961168878348,0.8031755901212662,0.0,0.023935450035595496,0.0,0.0,0.07443433832512307,0.0,0.0
273,1.0,1.0,0.936,33,1.0,1.0,0.95,4.117647058823529,0.5,,0.011378002528445152,0.05135025869591658,0.0,0.0,0.051461478038690944,0.0,0.0,0.0,0.006681514476614785,0.0,0.01617144690628844,0.0,0.0,0.0,0.0,0.01005025125628138,0.0,0.0,0.0,0.0,0.0,0.03189396441754286,0.6970955404838558,0.035050719956942644,0.007884846004909763,0.0,0.001279853312474555,0.07970212392203714,0.0,0.0
274,0.995,0.995,0.901,35,0.996,0.996,0.922,4.166666666666667,0.446,,0.015228426395939042,0.0050761421319797636,0.0,0.0,0.0,0.0,0.007668512855004797,0.0,0.0,0.0,0.0,0.0,0.0,0.005774108777623935,0.01531694733031122,0.0,0.0,0.0,0.0,0.007701288063003498,0.0,0.04996744747470881,0.7300148092272397,9.093197224601829e-18,0.022727095626672602,0.0,0.008040877600049871,0.13248434451746674,0.0,0.0
275,0.99,0.99,0.93,21,0.992,0.992,0.944,3.6363636363636362,0.405,,0.0,0.03516728358016706,0.0,0.0,0.0,0.0,0.0,0.06213215798539421,0.0,0.0,0.0,0.0,0.016414154776125654,0.0,0.0,0.0,0.0,0.0,0.010428330182597291,0.0,0.045489396514750376,0.0,0.7646425207062715,0.006112181117349248,0.0,0.051425234732244224,0.008188740405100536,0.0,0.0,0.0
276,1.0,1.0,0.93,31,1.0,1.0,0.944,4.1875,0.464,,0.0,0.019097741840023535,0.005025125628140687,0.0,0.0,0.008645533141210438,0.0,0.04295445519449782,0.0,0.0,0.004570219594220762,0.0,0.0,0.0,0.0,0.029280004684801138,0.0,0.0,0.0,0.0,0.0,0.013411466199480216,0.7236814012314722,0.007999097041719964,0.06235713433745241,0.0,0.07113181913264707,0.0,0.011846001974333808,0.0
